date,total_customers,total_revenue,avg_transaction
2024-02-17,7,4473.63,418.4
2024-02-18,0,2712.29,724.47
2024-02-19,10,,445.6
2024-02-20,9,8854.94,1096.77
2024-02-21,14,5970.72,423.41
2024-02-22,5,5319.76,524.99
2024-02-23,10,6960.93,661.78
2024-02-24,11,1991.81,285.74
2024-02-25,14,4497.8,456.04
2024-02-26,14,4534.79,343.48
2024-02-27,12,2274.08,212.09
2024-02-28,10,1667.05,240.9
2024-02-29,17,,498.33
2024-03-01,3,2132.71,287.59
2024-03-02,4,1389.82,209.51
2024-03-03,18,4123.4,310.26
2024-03-04,8,4428.56,526.94
2024-03-05,12,5892.54,867.27
2024-03-06,0,566.65,153.9
2024-03-07,2,3072.13,444.29
2024-03-08,10,6785.59,554.9
2024-03-09,0,385.34,142.29
2024-03-10,6,3818.71,477.76
2024-03-11,17,5349.27,418.09
2024-03-12,5,7135.73,708.66
2024-03-13,2,2497.72,388.9
2024-03-14,18,6252.99,456.75
2024-03-15,7,2486.02,383.58
2024-03-16,16,9694.94,952.2
2024-03-17,6,5550.17,534.25
2024-03-18,15,6353.54,691.46
2024-03-19,11,8743.21,892.56
2024-03-20,4,1787.56,310.78
2024-03-21,11,11808.08,883.77
2024-03-22,7,3922.26,413.06
2024-03-23,18,7205.3,527.13
2024-03-24,16,10097.76,847.52
2024-03-25,5,3428.97,438.52
2024-03-26,5,1672.75,186.74
2024-03-27,10,5039.35,434.25
2024-03-28,12,3630.93,371.13
2024-03-29,7,3847.4,495.1
2024-03-30,6,1385.89,214.36
2024-03-31,11,11568.85,1286.83
2024-04-01,4,3098.51,352.28
2024-04-02,13,8570.26,650.73
2024-04-03,15,5233.97,343.73
2024-04-04,21,13903.02,861.18
2024-04-05,10,3221.25,285.53
2024-04-06,1,3925.26,842.29
2024-04-07,13,4785.79,413.24
2024-04-08,16,8065.41,740.06
2024-04-09,12,4678.53,555.83
2024-04-10,10,5679.39,853.23
2024-04-11,11,8432.4,599.83
2024-04-12,14,5848.03,397.53
2024-04-13,5,6375.69,661.01
2024-04-14,2,3992.88,817.28
2024-04-15,12,,217.56
2024-04-16,12,6914.3,724.22
2024-04-17,11,2316.3,304.08
2024-04-18,10,4263.03,449.17
2024-04-19,9,,255.35
2024-04-20,3,1050.86,220.15
2024-04-21,17,13213.78,830.08
2024-04-22,5,3768.64,591.96
2024-04-23,15,7218.93,596.06
2024-04-24,8,2170.6,255.08
2024-04-25,14,5435.31,511.95
2024-04-26,10,5995.71,418.05
2024-04-27,12,4155.44,649.12
2024-04-28,10,3565.21,477.16
2024-04-29,2,1170.96,297.06
2024-04-30,12,4536.15,710.16
2024-05-01,13,8900.94,724.07
2024-05-02,3,3319.14,508.26
2024-05-03,12,3957.92,322.84
2024-05-04,8,7196.01,604.78
2024-05-05,10,4655.58,674.41
2024-05-06,10,2164.26,242.73
2024-05-07,5,2551.8,548.55
2024-05-08,4,2344.04,345.19
2024-05-09,26,14854.29,770.58
2024-05-10,12,9151.77,618.89
2024-05-11,4,3773.02,424.77
2024-05-12,6,6328.33,923.66
2024-05-13,4,2524.57,297.29
2024-05-14,1,1921.06,323.44
2024-05-15,10,2594.33,446.61
2024-05-16,17,9263.92,608.2
2024-05-17,16,7231.07,693.98
2024-05-18,12,3789.65,407.81
2024-05-19,14,3596.75,438.63
2024-05-20,13,3357.25,359.34
2024-05-21,6,3940.28,542.42
2024-05-22,6,3724.05,357.96
2024-05-23,13,8162.23,993.17
2024-05-24,11,6551.92,598.86
2024-05-25,11,2818.91,428.49
2024-05-26,5,5017.05,522.91
2024-05-27,15,5834.54,422.6
2024-05-28,7,8011.61,803.61
2024-05-29,12,9478.91,568.3
2024-05-30,18,11145.46,713.21
2024-05-31,7,1141.6,202.49
2024-06-01,14,4371.13,487.7
2024-06-02,0,5354.69,1941.52
2024-06-03,12,4216.91,362.12
2024-06-04,12,9481.49,948.72
2024-06-05,12,11803.29,1227.07
2024-06-06,12,8589.04,694.92
2024-06-07,5,3510.25,386.11
2024-06-08,12,2428.63,226.37
2024-06-09,0,1107.1,389.19
2024-06-10,12,3572.51,483.05
2024-06-11,16,7833.97,726.19
2024-06-12,6,8563.62,1130.03
2024-06-13,8,2268.01,278.99
2024-06-14,17,4985.97,414.47
2024-06-15,14,13574.15,831.25
2024-06-16,9,10025.42,817.06
2024-06-17,5,3130.44,454.02
2024-06-18,11,2833.1,263.91
2024-06-19,13,4741.39,420.62
2024-06-20,11,4127.2,472.23
2024-06-21,9,2439.02,320.95
2024-06-22,9,2778.47,390.95
2024-06-23,7,2676.16,412.56
2024-06-24,20,10759.12,741.12
2024-06-25,15,12346.43,928.13
2024-06-26,13,7425.91,721.39
2024-06-27,8,2586.0,268.25
2024-06-28,15,4320.23,363.33
2024-06-29,4,3716.66,523.08
2024-06-30,11,3738.01,256.11
